Testing v8 version different from logging version
Statistical profiling result from isolate-0x55df67c161c0-v8.log, (31154 ticks, 186 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: *resolveEntityName /app/node_modules/typescript/lib/tsc.js:25172:35
      2    0.0%    0.1%  LazyCompile: *reducePathComponents /app/node_modules/typescript/lib/tsc.js:11276:34
      2    0.0%    0.1%  LazyCompile: *propertiesRelatedTo /app/node_modules/typescript/lib/tsc.js:32642:41
      2    0.0%    0.1%  LazyCompile: *iterateCommentRanges /app/node_modules/typescript/lib/tsc.js:4159:34
      2    0.0%    0.1%  LazyCompile: *hasTypeParameterDefault /app/node_modules/typescript/lib/tsc.js:29145:41
      2    0.0%    0.1%  LazyCompile: *getSymbol /app/node_modules/typescript/lib/tsc.js:24399:27
      2    0.0%    0.1%  LazyCompile: *getConstrainedTypeVariable /app/node_modules/typescript/lib/tsc.js:29968:44
      2    0.0%    0.1%  LazyCompile: *getCombinedModifierFlags /app/node_modules/typescript/lib/tsc.js:9169:38
      2    0.0%    0.1%  LazyCompile: *computeBaseConstraint /app/node_modules/typescript/lib/tsc.js:29072:43
      2    0.0%    0.1%  LazyCompile: *checkInterfaceDeclaration /app/node_modules/typescript/lib/tsc.js:42724:43
      2    0.0%    0.1%  LazyCompile: *checkGrammarFunctionLikeDeclaration /app/node_modules/typescript/lib/tsc.js:45126:53
      2    0.0%    0.1%  LazyCompile: *bindParameter /app/node_modules/typescript/lib/tsc.js:22571:31
      2    0.0%    0.1%  LazyCompile: *DoJoin native array.js:94:16
      2    0.0%    0.1%  LazyCompile: *<anonymous> /app/node_modules/typescript/lib/tsc.js:30589:76
      2    0.0%    0.1%  LazyCompile: *<anonymous> /app/node_modules/typescript/lib/tsc.js:29146:102
      2    0.0%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      2    0.0%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot
      2    0.0%    0.1%  Builtin: RegExpReplace
      2    0.0%    0.1%  Builtin: RegExpPrototypeExec
      2    0.0%    0.1%  Builtin: MapConstructor
      2    0.0%    0.1%  Builtin: LoadIC_Uninitialized
      2    0.0%    0.1%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      2    0.0%    0.1%  Builtin: InstanceOf
      2    0.0%    0.1%  Builtin: FunctionPrototypeHasInstance
      2    0.0%    0.1%  Builtin: FastNewFunctionContextFunction
      2    0.0%    0.1%  Builtin: AdaptorWithExitFrame
      1    0.0%    0.0%  Stub: RecordWriteStub {8}
      1    0.0%    0.0%  Stub: RecordWriteStub {7}
      1    0.0%    0.0%  Stub: RecordWriteStub {6}
      1    0.0%    0.0%  Stub: RecordWriteStub {5}
      1    0.0%    0.0%  Stub: RecordWriteStub {4}
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub {10}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: InternalArraySingleArgumentConstructorStub
      1    0.0%    0.0%  Script: ~ts /app/node_modules/typescript/lib/tsc.js:5425:11
      1    0.0%    0.0%  Script: ~ts /app/node_modules/typescript/lib/tsc.js:1645:11
      1    0.0%    0.0%  LazyCompile: ~watchDirectoryUsingFsWatch /app/node_modules/typescript/lib/tsc.js:2394:48
      1    0.0%    0.0%  LazyCompile: ~visitNodes /app/node_modules/typescript/lib/tsc.js:11971:24
      1    0.0%    0.0%  LazyCompile: ~unescapeLeadingUnderscores /app/node_modules/typescript/lib/tsc.js:9273:40
      1    0.0%    0.0%  LazyCompile: ~typeRelatedToSomeType /app/node_modules/typescript/lib/tsc.js:32273:43
      1    0.0%    0.0%  LazyCompile: ~tryScan /app/node_modules/typescript/lib/tsc.js:5382:25
      1    0.0%    0.0%  LazyCompile: ~tryParseTypeExpression /app/node_modules/typescript/lib/tsc.js:16743:48
      1    0.0%    0.0%  LazyCompile: ~toPath /app/node_modules/typescript/lib/tsc.js:5496:20
      1    0.0%    0.0%  LazyCompile: ~symbolIsValue /app/node_modules/typescript/lib/tsc.js:25550:31
      1    0.0%    0.0%  LazyCompile: ~statsFromValues fs.js:245:25
      1    0.0%    0.0%  LazyCompile: ~startsWith /app/node_modules/typescript/lib/tsc.js:1579:24
      1    0.0%    0.0%  LazyCompile: ~speculationHelper /app/node_modules/typescript/lib/tsc.js:5342:35
      1    0.0%    0.0%  LazyCompile: ~some /app/node_modules/typescript/lib/tsc.js:551:18
      1    0.0%    0.0%  LazyCompile: ~skipPartiallyEmittedExpressions /app/node_modules/typescript/lib/tsc.js:9710:45
      1    0.0%    0.0%  LazyCompile: ~signaturesRelatedTo /app/node_modules/typescript/lib/tsc.js:32780:41
      1    0.0%    0.0%  LazyCompile: ~signatureHasTypePredicate /app/node_modules/typescript/lib/tsc.js:29577:43
      1    0.0%    0.0%  LazyCompile: ~shouldParseReturnType /app/node_modules/typescript/lib/tsc.js:13743:39
      1    0.0%    0.0%  LazyCompile: ~setTextPos /app/node_modules/typescript/lib/tsc.js:5402:28
      1    0.0%    0.0%  LazyCompile: ~scanJSDocToken /app/node_modules/typescript/lib/tsc.js:5284:32
      1    0.0%    0.0%  LazyCompile: ~resolveStructuredTypeMembers /app/node_modules/typescript/lib/tsc.js:28869:46
      1    0.0%    0.0%  LazyCompile: ~resolveNamesWithLocalCache /app/node_modules/typescript/lib/tsc.js:68311:44
      1    0.0%    0.0%  LazyCompile: ~resolveExternalModule /app/node_modules/typescript/lib/tsc.js:25260:39
      1    0.0%    0.0%  LazyCompile: ~resolveBaseTypesOfClass /app/node_modules/typescript/lib/tsc.js:27947:41
      1    0.0%    0.0%  LazyCompile: ~resolve path.js:1156:28
      1    0.0%    0.0%  LazyCompile: ~reportRelationError /app/node_modules/typescript/lib/tsc.js:32006:41
      1    0.0%    0.0%  LazyCompile: ~reportObviousModifierErrors /app/node_modules/typescript/lib/tsc.js:45018:45
      1    0.0%    0.0%  LazyCompile: ~reportError /app/node_modules/typescript/lib/tsc.js:32002:33
      1    0.0%    0.0%  LazyCompile: ~removeTrailingDirectorySeparator /app/node_modules/typescript/lib/tsc.js:11418:46
      1    0.0%    0.0%  LazyCompile: ~removeLeadingNewlines /app/node_modules/typescript/lib/tsc.js:16584:47
      1    0.0%    0.0%  LazyCompile: ~readFile /app/node_modules/typescript/lib/tsc.js:69117:32
      1    0.0%    0.0%  LazyCompile: ~pushComment /app/node_modules/typescript/lib/tsc.js:16674:41
